,wind_farm,oem_manufacturer,latitude,longitude,country,rated_power,rotor_diameter,hub_height,turbine_type,commissioning_date
0,Aberdeen Offshore Wind Farm,Vestas,57.2283,-2.0023,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
1,Aberdeen Offshore Wind Farm,Vestas,57.2159,-2.0112,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
2,Aberdeen Offshore Wind Farm,Vestas,57.216,-1.986,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
3,Aberdeen Offshore Wind Farm,Vestas,57.2236,-2.0127,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
4,Aberdeen Offshore Wind Farm,Vestas,57.24,-1.9759,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
5,Aberdeen Offshore Wind Farm,Vestas,57.2335,-1.9896,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
6,Aberdeen Offshore Wind Farm,Vestas,57.2301,-1.9742,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
7,Aberdeen Offshore Wind Farm,Vestas,57.208,-2.0106,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
8,Aberdeen Offshore Wind Farm,Vestas,57.2244,-1.988,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
9,Aberdeen Offshore Wind Farm,Vestas,57.2118,-1.9989,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
10,Aberdeen Offshore Wind Farm,Vestas,57.22,-2.0002,United Kingdom,8.4,164.0,108.5,V164-8.4 MW,2018-09
11,Albatros,Siemens Gamesa,54.4755,6.2334,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
12,Albatros,Siemens Gamesa,54.4963,6.2162,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
13,Albatros,Siemens Gamesa,54.4951,6.2029,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
14,Albatros,Siemens Gamesa,54.4827,6.2334,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
15,Albatros,Siemens Gamesa,54.4898,6.2111,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
16,Albatros,Siemens Gamesa,54.4837,6.2206,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
17,Albatros,Siemens Gamesa,54.4971,6.2357,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
18,Albatros,Siemens Gamesa,54.4954,6.2474,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
19,Albatros,Siemens Gamesa,54.4661,6.2479,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
20,Albatros,Siemens Gamesa,54.4724,6.2586,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
21,Albatros,Siemens Gamesa,54.4868,6.2831,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
22,Albatros,Siemens Gamesa,54.4943,6.2972,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
23,Albatros,Siemens Gamesa,54.4943,6.2698,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
24,Albatros,Siemens Gamesa,54.4932,6.2581,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
25,Albatros,Siemens Gamesa,54.4819,6.2472,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
26,Albatros,Siemens Gamesa,54.4898,6.2349,Germany,7.0,154.0,105.0,SWT-7.0-154,2020-01
27,Alpha Ventus,Adwen,54.0003,6.6072,Germany,5.0,116.0,90.0,M5000-116,2010-04
28,Alpha Ventus,Senvion,54.0217,6.6183,Germany,5.08,126.0,92.0,5M,2010-04
29,Alpha Ventus,Senvion,54.0143,6.6063,Germany,5.08,126.0,92.0,5M,2010-04
30,Alpha Ventus,Adwen,54.0075,6.6067,Germany,5.0,116.0,90.0,M5000-116,2010-04
31,Alpha Ventus,Senvion,54.0217,6.6059,Germany,5.08,126.0,92.0,5M,2010-04
32,Alpha Ventus,Adwen,54.0003,6.5945,Germany,5.0,116.0,90.0,M5000-116,2010-04
33,Alpha Ventus,Adwen,54.0003,6.6198,Germany,5.0,116.0,90.0,M5000-116,2010-04
34,Alpha Ventus,Adwen,54.0075,6.6193,Germany,5.0,116.0,90.0,M5000-116,2010-04
35,Alpha Ventus,Senvion,54.0143,6.5938,Germany,5.08,126.0,92.0,5M,2010-04
36,Alpha Ventus,Adwen,54.0075,6.5942,Germany,5.0,116.0,90.0,M5000-116,2010-04
37,Alpha Ventus,Senvion,54.0217,6.5935,Germany,5.08,126.0,92.0,5M,2010-04
38,Alpha Ventus,Senvion,54.0143,6.6188,Germany,5.08,126.0,92.0,5M,2010-04
39,Amrumbank West,Siemens,54.5226,7.691,Germany,3.6,120.0,90.0,SWT-3.6-120,2015-10
40,Amrumbank West,Siemens,54.5226,7.6785,Germany,3.6,120.0,90.0,SWT-3.6-120,2015-10
41,Amrumbank West,Siemens,54.5226,7.7034,Germany,3.6,120.0,90.0,SWT-3.6-120,2015-10
42,Amrumbank West,Siemens,54.5226,7.7159,Germany,3.6,120.0,90.0,SWT-3.6-120,2015-10
