Wind Farm,Country,Wind Farm rated power MW,Wind Farm density MW/km2,Capacity Factor real,Capacity Factor model,Capacity Factor infinite farm,Capacity Factor isolated turbine,Ratio Capacity Factor real/model,Wind farm efficiency,Wind lambda,Wind kw,Number WT,WT rated power MW,Rotor diamter m,Nacelle height m,Wind farm area km2
Arkona,DE,360,9.7,41,45.6,34.6,61.1,89.8,67.1,10.75,2.4,60,6,154,102,37
Wikinger,DE,350,10.8,38.9,40.4,31.5,59.1,96.3,65.8,10.75,2.4,70,5,135,97.5,32.3
Kriegers Flak,DK,604.8,3.4,44.2,51.6,46.2,59,85.7,74.9,11,2.4,72,8.4,167,107,179
Baltic 1,DE,48.3,6.9,42.6,55,37.7,58.5,77.3,72.8,10.8,2.4,21,2.3,93,67,7
Baltic 2,DE,288,10.7,42.6,44.5,30.3,60.6,95.8,70.3,10.8,2.4,80,3.6,120,78.2,27
Rodsand 1,DK,165.6,7.5,35.6,40.1,31.1,52.8,88.8,67.5,10.8,2.4,72,2.3,82,69,22
Rodsand 2,DK,207,5.9,43,48.4,36.7,58.9,88.8,73,10.85,2.4,90,2.3,93,68,35
Lillgrund,SE,110.4,23,31,35.2,16.6,56.4,88,55,10.5,2.4,48,2.3,93,65,4.8
Anholt 1,DK,399.6,4.5,48.5,52.4,43.2,62,92.4,78.2,11,2.4,111,3.6,120,81.6,89.4
Horns Rev 1,DK,160,8,39.7,46.7,35.5,59.4,85.1,66.9,11.5,2.4,80,2,80,70,20
Horns Rev 2,DK,209.3,6.3,46.6,51.8,39.8,62.8,90,74.3,11.5,2.4,91,2.3,93,68,33
Horns Rev 3,DK,392,4.5,49.4,56,47.9,62.4,88.1,79.1,11.5,2.4,49,8,164,112,88
DanTysk,DE,288,4.4,47.6,54.6,46.3,64,87.2,74.4,11.3,2.4,80,3.6,120,88,64.9
Sandbank,DE,288,4.8,48.9,57,47.3,65.7,85.8,74.5,11.35,2.4,72,4,130,94.8,60
Butendiek,DE,288,6.9,46.7,51,41,63.9,91.5,73,11.26,2.4,80,3.6,120,91,42
Amrumbank West,DE,302.4,9.4,40,48.2,35.5,62.5,83,64,11.2,2.4,80,3.78,120,90,32
Kaskasi,DE,342,19.7,31.2,35.2,26.8,58.7,88.7,53.2,11.2,2.4,38,9,167,107.5,17.4
Nordsee Ost,DE,295.2,8.2,33.6,38.3,34.3,53.8,87.7,62.6,11.2,2.4,48,6.15,126,92,36
Meerwind Sud/Ost,DE,288,7,43.2,48.9,40.1,63.5,88.5,68.1,11.2,2.4,80,3.6,120,89,41.1
Global Tech I,DE,400,9.8,34.4,36,30.9,54.4,95.6,63.3,11.22,2.4,80,5,116,82,41
Albatros,DE,112,10.2,40.2,46.1,39.5,60.7,87.2,66.3,11.22,2.4,16,7,154,105,11
Hohe See,DE,497,11.8,37.6,41.9,33.2,60.7,89.8,62,11.22,2.4,71,7,154,105,42
Deutsche Bucht,DE,260.4,11.5,42.8,49,34.7,59.9,87.4,71.4,11.2,2.4,31,8.4,167,100,22.6
Veja Mate,DE,402,7.9,42.8,45.7,40.4,63.9,93.6,66.9,11.22,2.4,67,6,154,103.3,51.2
BARD,DE,400,7.1,37.8,40.6,36.8,57.1,93.2,66.2,11.22,2.4,80,5,122,90,56.3
Gode 1 and 2,DE,582,7.9,38.1,44.3,39.2,63.6,86.1,60,11.15,2.4,97,6,154,104,73.3
Nordsee One,DE,334.8,8.1,37,41.8,33.6,53.2,88.7,69.7,11.15,2.4,54,6.2,126,90,41.3
Borkum Riffgrund I,DE,312,8.7,33.5,37.2,35.5,61.1,90,54.8,11.22,2.4,78,4,120,83,36
Borkum Riffgrund II,DE,448,12.4,33.3,44,32.9,60.5,75.7,55,11.22,2.4,56,8,164,105,36
Trianel I and II,DE,401.6,7.2,34.3,42.3,37.5,58.7,81.1,58.5,11.22,2.4,72,5.57777777777778,133.206606442774,90,55.6
Merkur,DE,396,8.4,41.5,43.1,38.6,62.7,96.3,66.3,11.22,2.4,66,6,150,100,47
Alpha Ventus,DE,60,15,35.4,38,33,56.9,93.2,62.2,11.22,2.4,12,5,121,92,4
Riffgat,DE,113.4,18.9,37.4,46.8,26.4,61.3,79.9,61,11,2.4,30,3.78,120,90,6
Gemini,NL,600,8.6,45.5,49,36.9,64.7,92.9,70.2,11.22,2.4,150,4,130,89,70
Fryslan,NL,382.7,10.9,37.7,42.6,33.1,61.2,88.5,61.6,10.7,2.4,89,4.3,130,115,35
Princess Amalia,NL,120,8.2,43,41.8,31.3,54.3,102.8,79.3,10.6,2.4,60,2,80,80,14.6
Luchterduinen,NL,129,5.2,43,52.3,40.9,60.4,82.3,71.2,10.6,2.4,43,3,112,81,25
Borssele I-II,NL,752,5.9,41,43.2,39.2,57.9,95,70.8,10.6,2.4,94,8,167,116,128.3
Norther,BE,352,8,38.6,42.1,34.7,56.3,91.7,68.5,10.6,2.4,44,8,164,98,44
Thortonbank,BE,325,16.4,32.9,36.9,22.8,50.4,89.3,65.3,10.6,2.4,54,6.01851851851852,126,95,19.8
Rentel,BE,308.7,13.6,35.5,39.1,29.6,56.2,90.6,63.1,10.6,2.4,42,7.35,154,119,22.7
Northwind,BE,216,14.9,38,39.9,23.6,59.8,95.1,63.4,10.6,2.4,72,3,112,71,14.5
Nobelwind,BE,165,8.3,39.8,43.2,33.1,58.2,92.3,68.4,10.6,2.4,50,3.3,112,79,19.8
Belwind Phase 1,BE,168,9.9,33.4,35.9,26.6,49.7,93,67.2,10.6,2.4,56,3,90,72,17
Northwester 2,BE,218.5,18.2,31.5,34.1,25.2,52.6,92.3,59.9,10.6,2.4,23,9.5,164,105,12
Seamade Mermaid,BE,235.2,14.1,38.1,44,29.6,56.5,86.6,67.5,10.6,2.4,28,8.4,167,109,16.7
Seamade Seastar,BE,252,12.9,34.7,39.2,30.6,56.5,88.5,61.4,10.6,2.4,30,8.4,167,109,19.5
Rampion,UK,400.2,5.6,42.3,44.5,37.1,58.5,94.9,72.2,10.56,2.4,116,3.45,116,80,72
Thanet,UK,300,8.6,32.8,36.7,27.1,49.6,89.5,66.2,10.6,2.4,100,3,90,70,35
London Array,UK,630,5.2,40.7,44.7,38.7,59.5,91.2,68.4,10.57,2.4,175,3.6,120,87,122
Gunfleet Sand,UK,172.8,12.7,35.5,38.9,25.6,54,91.2,65.7,10.62,2.4,48,3.6,107,75,13.6
Galloper,UK,352.8,2,46,52.4,50.3,59.8,87.8,77,10.7,2.4,56,6.3,154,103,174
Greater Gabbard,UK,504,3.4,40.2,43.3,40.2,54.6,92.9,73.6,10.7,2.4,140,3.6,107,77.5,147
East Anglia One,UK,714,2.4,45.3,50.4,46.1,57.1,89.7,79.3,10.75,2.4,102,7,154,90,300
Lincs,UK,270,7.7,41.3,45.2,38.8,62.8,91.4,65.8,11,2.4,75,3.6,120,100,35
Lynn and Inner Dowsing,UK,194.4,11.4,34.9,39.7,29.6,56.8,87.9,61.4,11,2.4,54,3.6,107,80,17
Humber Gateway,UK,219,6.3,42.7,48.4,40.6,63.4,88.2,67.3,11.1,2.4,73,3,112,80,35
Westermost Rough,UK,210,6,47.5,55,44.1,63.1,86.4,75.3,11.1,2.4,35,6,154,100,35
Sheringham Shoal,UK,316.8,9.1,37.9,43.2,31.8,56.8,87.8,66.7,11,2.4,88,3.6,107,80,35
Dudgeon,UK,402,7.3,45.6,50.9,40.9,63.2,89.6,72.2,11.05,2.4,67,6,154,110,55
Race Bank,UK,546,7.3,43.6,49.4,39.8,63.1,88.3,69.1,11.1,2.4,91,6,154,100,75
Triton Knoll,UK,855,5.9,40.2,46.3,38.7,55.9,86.7,71.9,11.1,2.4,90,9.5,164,105,145
Hornsea 1,UK,1218,3,45.4,52.2,48.6,61,87,74.5,11.22,2.4,174,7,154,113,407
Hornsea 2,UK,1320,2.9,42.2,52.1,49.3,61,81,69.2,11.22,2.4,165,8,164,118,462
