Index,subindex,Cluster,Name,Country,MW install,PG,D,WT densi,AreaR_Afarm,Ht,A,Href,Nt,lambda,k,Average wind speed,Nrowscale parameter,Nturb_effective,Nturb_frontal_area,CF,Wind farm density,Year production TWh/year,Source power,Coordinates,k_ref,A_ref,A_h,lat,lon,lat2,lon2,Area,Nwt_rows,Nwt_row_wf_neighbors,Cf_Free,Cf_Inf,Cf_Model,U_Free,U_Inf,U_Model,G_Model,U_rated,Phi_Model,Phi_Model_redo,Phi_Model_a5p3,Cf_Model_redo,Cf_Model_a5p3
1,0,0,Arkona,DE,385.0,6.0,154.0,322,0.0302,102.0,37.0,100,60,10.75,2.4,9.52968265832245,2.5,60,10.0,40.9654272667971,10.41,1.38,Germany sheet,54°46′59″N 14°07′16″E,2.3875532150268555,10.739124906156633,10.754517959284238,54.783055555555556,14.121111111111112,54.78156333333334,14.121575000000004,37.099754205225004,11.3621,9.728200000000001,0.6149278947986869,0.3671277756110987,0.4398338106445032,9.529682658322454,6.792089844460112,7.932753484308362,11.494172809356078,10.456475740462032,1.341719228092074,1.3467300353652778,1.227047288558083,0.43720970392780767,0.501830015463341
2,0,0,Wikinger,DE,350.0,5.0,135.0,349,0.031,97.5,32.3,100,70,10.75,2.4,9.52968265832245,2.5,70,9.0,38.9041095890411,10.84,1.19,Germany sheet,54°50′2″N 14°4′5″E,2.3955812454223633,10.765232484704496,10.74550450666051,54.83388888888889,14.068055555555555,54.83602714285715,14.067697142857142,32.5701271824421,13.269900000000002,11.3754,0.5966597271712498,0.338103058915677,0.42121055942639674,9.529682658322454,6.705698375928007,7.613407583973201,11.534182089114951,10.742768583236057,1.4320470259298859,1.3910410975057685,1.2864165759752644,0.44314539906119277,0.5018912522432954
3,0,0,Kriegers Flak,DK,604.8,8.4,167.0,383,0.0088,107.0,179.0,100,72,11.0,2.4,9.75130318526019,2.5,72,12.0,44.1885203993999,3.38,2.34,Danish wind farms sheet,55°04′0″N 13°01′0″E,2.5137929916381836,10.873472839499385,10.926723457596387,55.06666666666667,13.016666666666667,55.030456944444445,12.937306944444446,223.5952668061497,17.82268226822682,15.809880988098808,0.5910754119772834,0.4751137362345101,0.5234311011273324,9.751303185260184,8.311966841831689,8.911690285546005,11.735532971040177,11.08232407558059,1.249482879560148,1.2235214630876527,1.2087814458270203,0.538771385285682,0.5475446733278424
4,1,0,Baltic 1,DE,48.3,2.3,93.0,339,0.0204,67.0,7.0,100,21,10.8,2.4,9.57400676371,2.5,21,7.0,42.5663648324433,6.9,0.18,Germany sheet,54°36′50″N 12°40′0″E,2.5276403427124023,10.728053330372473,10.417073531685626,54.61388888888889,12.666666666666666,54.60939047619048,12.650652380952382,5.979251235271259,7.756775677567759,7.756775677567759,0.6068825530720809,0.4168833797702938,0.5752160241884499,9.574006763709999,7.381635196650437,9.208611426419685,11.936350476221852,10.63169993975348,1.1626989985283838,1.1344228350009866,1.1104754991455235,0.5923334947971134,0.6068825530720809
5,2,0,Baltic 2,DE,288.0,3.6,120.0,318,0.0335,78.2,27.0,100,80,10.8,2.4,9.57400676371,2.5,80,15.0,42.5663648324433,10.67,1.07,Germany sheet,55°00′00″N 13°12′00″E,2.503300666809082,10.89999241911215,10.705984822102147,55.0,13.2,54.9825225,13.162733750000001,29.451213849091122,14.863300000000002,11.990000000000002,0.6206533037013297,0.33723151135500706,0.4700854765173458,9.574006763709999,6.493273636812109,7.937367249437503,11.791781037956289,10.415066986218795,1.3422405105409856,1.390524226050196,1.2807447851081577,0.4434261141747699,0.505175365762677
6,0,0,Rodsand 1,DK,165.6,2.3,82.0,436,0.0173,69.0,22.0,100,72,10.8,2.4,9.57400676371,2.5,72,12.0,35.6371196628762,7.53,0.52,Danish wind farms sheet,54°33′0″N 11°42′36″E,2.5377283096313477,10.654425565888152,10.3682638379523,54.55,11.709999999999999,54.54728194444445,11.713477777777777,23.210879743738044,15.0,12.1443,0.5481966841407572,0.3464387011264929,0.4305045273824364,9.574006763709999,7.301067884808218,8.248125713334057,11.908577147262585,11.56242090964085,1.4145185400621902,1.4126260435124047,1.3380131473428156,0.43151541894316403,0.47245895464714366
7,0,0,Rodsand 2,DK,207.0,2.3,93.0,339,0.0175,68.0,35.0,100,90,10.85,2.4,9.61833086909755,2.5,90,19.0,42.969617251251,5.91,0.78,Danish wind farms sheet,54°33′36″N 11°33′0″E,2.5403356552124023,10.646138597977393,10.34894970976817,54.559999999999995,11.55,54.55688444444446,11.543767777777779,31.781360547470996,19.163783621637837,17.951404859514053,0.6099956254170439,0.40647221630818836,0.5138873488934177,9.618330869097544,7.280227586250745,8.514226492916725,11.981060482773238,10.63169993975348,1.2657718826025834,1.2759490390907637,1.2550285849565126,0.5079591917332321,0.5201744465986914
8,0,0,Lillgrund,SE,110.4,2.3,93.0,339,0.0679,65.0,4.8,100,48,10.5,2.4,9.30806213138472,2.5,48,9.0,31.0204486797697,23.0,0.3,Jens paper,55°31′0″N 12°47′0″E,2.6380014419555664,10.241994708093687,9.922637972890538,55.516666666666666,12.783333333333333,55.51245,12.780822916666665,4.673805091410645,9.62033796620338,9.62033796620338,0.5876154934596538,0.20349242147873156,0.3835501114697888,9.308062131384721,5.381286402536305,7.221962483281717,11.611895699333992,10.63169993975348,1.5057717764898861,1.4809560395881136,1.2942988789245868,0.3959608471596034,0.4973423871671557
9,0,0,Anholt 1,DK,399.6,3.6,120.0,318,0.014,81.6,89.4,100,111,11.0,2.4,9.75130318526019,2.5,111,21.9,48.4774706635028,4.47,1.7,Danish wind farms sheet,56°36′00″N 11°12′36″E,2.5410261154174805,10.816705038690651,10.657501454561805,56.6,11.209999999999999,56.60108828828829,11.21661081081081,90.37173330498116,32.48165183481652,32.48165183481652,0.6326949435987623,0.4622141659818398,0.5463026576442408,9.751303185260184,7.678806694034231,8.701051542157588,11.98419144861977,10.415066986218795,1.2108638360814186,1.1433303287685737,1.2080600047278696,0.5869325728080033,0.5479751583763588
10,0,0,Horns Rev 1,DK,160.0,2.0,80.0,398,0.0201,70.0,20.0,100,80,11.5,2.4,10.1945442391356,2.5,80,15.0,39.7255973122452,8.0,0.56,Danish wind farms sheet,55°31′47″N 7°54′22″E,2.519352912902832,11.176193024847425,10.88765732405945,55.52972222222222,7.9061111111111115,55.48614250000001,7.84055125,19.610402410477793,14.976897689768975,14.976897689768975,0.6129402111177549,0.391782837602888,0.49545035643798185,10.194544239135647,7.53352354150887,8.780876948839417,12.716599600662953,11.219290807057796,1.2975866497165653,1.2978643504633929,1.250503126772581,0.49529069249258134,0.5228314116425948
